Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
Castros Consulting LLC,93201.75,4,2015,equinor
Castros Consulting LLC,279323.55,14,2016,equinor
Castros Consulting LLC,265929.59,12,2017,equinor
"Catalyst Finance, L.P.",82730,6,2018,equinor
"Catering by Rosemary, Inc.",35613.71,3,2016,equinor
"Caterpillar Financial Services,",24209.2,9,2016,equinor
"Caterpillar Financial Services,",40902.14,14,2017,equinor
"Caterpillar Financial Services,",26029.9,9,2018,equinor
"Cawley, Gillespie & Associates, INC",2688.17,1,2015,equinor
"CB Cafes Main, LLC",728.49,2,2018,equinor
CB Richard Ellis,388987.45,16,2015,equinor
CB Richard Ellis,110875.43,21,2016,equinor
CB Richard Ellis,501794.4,15,2017,equinor
CB Richard Ellis,1421782.81,16,2018,equinor
"CB Richard Ellis, Inc.",448243.3,2,2017,equinor
"CBT Partners, LTD.",12259.3,8,2016,equinor
"CBT Partners, LTD.",26385.9,15,2017,equinor
"CBT Partners, LTD.",17590.6,10,2018,equinor
CC Forbes LLC,269765.08,20,2015,equinor
CC Forbes LLC,728002.75,317,2016,equinor
CC Forbes LLC,1382368.8,383,2017,equinor
CC Forbes LLC,3755063.46,567,2018,equinor
CCH Incorporated,11643.28,1,2015,equinor
CCH Incorporated,11992.77,1,2016,equinor
CCH Incorporated,12182.06,1,2017,equinor
CCH Incorporated,12425.71,1,2018,equinor
CDM Resource Management LLC,1375368.24,67,2015,equinor
CDM Resource Management LLC,2174986.72,115,2016,equinor
CDM Resource Management LLC,2462893.68,244,2017,equinor
CDM Resource Management LLC,1146479.99,120,2018,equinor
Cdw Direct,48790.28,29,2015,equinor
Cdw Direct,8607.65,11,2016,equinor
Cdw Direct,33608.43,35,2017,equinor
Cdw Direct,11411.09,28,2018,equinor
Cdw Direct LLC,1150.72,1,2015,equinor
Cdw Direct LLC,300.94,3,2016,equinor
"CEC Corrosion Services, LLC",22531.27,5,2016,equinor
"CEC Corrosion Services, LLC",2469.13,1,2017,equinor
Cenergy International Services LLC,780634.26,115,2015,equinor
Cenergy International Services LLC,85489.13,28,2016,equinor
Cenergy International Services LLC,70422.07,23,2017,equinor
Cenergy International Services LLC,113596.04,28,2018,equinor
Center Fire Welding Service Inc.,125009,49,2015,equinor
Center Fire Welding Service Inc.,626132.79,29,2016,equinor
Center Fire Welding Service Inc.,841859.47,151,2017,equinor
Center Fire Welding Service Inc.,232013.29,30,2018,equinor
Center for a New American Security,50000,1,2018,equinor
Center for Toxicology and Environme,2549688.26,29,2015,equinor
Center for Toxicology and Environme,30558.75,1,2016,equinor
Central Dispatch Inc.,184595.11,153,2015,equinor
Central Dispatch Inc.,63846.14,64,2016,equinor
Central Dispatch Inc.,246.51,1,2017,equinor
Central Dispatch Inc.,176343.75,10,2018,equinor
"Central Environmental Services, LLC",2849029.89,764,2015,equinor
"Central Environmental Services, LLC",925348.96,194,2016,equinor
"Central Environmental Services, LLC",659649.1,311,2017,equinor
"Central Environmental Services, LLC",2100266.25,660,2018,equinor
Century Companies Inc.,3547128,213,2015,equinor
Century Companies Inc.,153525.27,15,2016,equinor
"Century Graphics & Sign, Inc",25638.34,33,2015,equinor
"Century Graphics & Sign, Inc",25232.04,21,2016,equinor
"Century Graphics & Sign, Inc",119028.35,18,2017,equinor
"Century Graphics & Sign, Inc",31173.24,54,2018,equinor
Century Hospitality New Martinsvill,250,1,2018,equinor
Century TC5,1620.36,1,2017,equinor
"Cessac Worksite Services, Inc.",359669.59,83,2015,equinor
"Cessac Worksite Services, Inc.",137190.27,115,2016,equinor
"Cessac Worksite Services, Inc.",198727.36,107,2017,equinor
"Cessac Worksite Services, Inc.",343910.82,141,2018,equinor
CFI Mechanical Inc.,3842.88,2,2015,equinor
CFI Mechanical Inc.,7485.49,1,2016,equinor
CFI Mechanical Inc.,339.83,1,2017,equinor
CFI Mechanical Inc.,313.93,1,2018,equinor
CGG Services (U.S.) Inc.,27839500,6,2015,equinor
CGG Services (U.S.) Inc.,5625500,6,2016,equinor
"CH2M HILL Engineers, Inc.",91957.11,7,2015,equinor
"CH2M HILL Engineers, Inc.",208457.64,17,2016,equinor
"CH2M HILL Engineers, Inc.",84576.06,11,2017,equinor
"CH2M HILL Engineers, Inc.",39113.57,9,2018,equinor
CH4P LLC DBA Best Western Plus,11394.15,7,2015,equinor
CH4P LLC DBA Best Western Plus,26271.33,8,2016,equinor
Challenger Industries Inc,1941434.83,494,2015,equinor
Challenger Industries Inc,336525.18,220,2016,equinor
"Champ Construction, Inc",632340,3,2016,equinor
"Champ Construction, Inc",412258.19,3,2017,equinor
"Chapman Engineering, Inc.",965151.43,65,2015,equinor
"Chapman Engineering, Inc.",104535.23,33,2016,equinor
"Chapman Engineering, Inc.",23921.93,4,2017,equinor
"Chapman Engineering, Inc.",635935.21,10,2018,equinor
Charlie Brown's Airport Parking,7253.72,4,2015,equinor
Charlie Brown's Airport Parking,861.48,1,2016,equinor
Charter Oak Consulting Group Inc,11400,3,2018,equinor
"Chemical Weed Control, Inc.",8463.77,12,2016,equinor
"Chemical Weed Control, Inc.",186234.11,212,2017,equinor
"Chemical Weed Control, Inc.",315672.41,284,2018,equinor
"Chesapeake Appalachia, LLC",181913.97,4,2016,equinor
Chevron Energy Technology,325000,1,2015,equinor
Chick-fil-A at Westheimer & Kirkwoo,4195.11,17,2015,equinor
Chick-fil-A at Westheimer & Kirkwoo,284.59,2,2016,equinor
Chick-fil-A at Westheimer & Kirkwoo,141.43,1,2017,equinor
Chick-fil-A at Westheimer & Kirkwoo,468.77,2,2018,equinor
Chinook Wind LLC,45202.5,4,2015,equinor
Chinook Wind LLC,23558.61,1,2016,equinor
"Ciacie Energy Services, LLC",316230,5,2015,equinor
"Cimation, LLC",115294.96,9,2015,equinor
"Cimation, LLC",6561.39,2,2016,equinor
Cinco Energy Services,370059.6,19,2015,equinor
Cinco Energy Services,274089.11,12,2016,equinor
Cintas #86,2845.64,25,2017,equinor
Cintas #86,6211,40,2018,equinor
Cintas Corporation,21487.67,85,2015,equinor
Cintas Corporation,35029.43,155,2016,equinor
Cintas Corporation,51594.1,217,2017,equinor
Cintas Corporation,33565.97,133,2018,equinor
Cintas Corporation #531,390.04,9,2015,equinor
Cintas Corporation #531,141.76,2,2016,equinor
Cintas Corporation #531,2367.71,37,2017,equinor
Cintas Corporation #531,3039.39,45,2018,equinor
Cintas First Aid & Safety,3474.22,12,2016,equinor
Cintas First Aid & Safety,33321.33,74,2017,equinor
Cintas First Aid & Safety,30150.26,95,2018,equinor
"Circa Texas, Inc.",44028.65,2,2015,equinor
Citibank Global Executive Banking,1200,2,2017,equinor
Citibank Global Executive Banking,840,1,2018,equinor
"City Centre Hotel Partners, LP",6869.66,1,2015,equinor
"City Centre Hotel Partners, LP",22578.91,5,2017,equinor
"City Centre Hotel Partners, LP",28862.41,9,2018,equinor
Citynet LLC,1148.91,8,2018,equinor
"Civil & Environmental Consultants,",5349.73,6,2015,equinor
"C-K Associates, LLC",34178.09,18,2015,equinor
"C-K Associates, LLC",4314.58,6,2016,equinor
"C-K Associates, LLC",3665.52,6,2017,equinor
"C-K Associates, LLC",10998.69,15,2018,equinor
Claire L. Sullivan & Associates,114035,3,2016,equinor
Claire L. Sullivan & Associates,147437.97,2,2017,equinor
Claire L. Sullivan & Associates,149350.87,2,2018,equinor
"ClampOn, Inc.",10042,1,2017,equinor
Clariant Corporation,7477.56,1,2016,equinor
Clariant Corporation,243715.56,13,2017,equinor
Clark Duncan & Morris Inc,251918.11,18,2017,equinor
Clark Duncan & Morris Inc,243660.89,46,2018,equinor
"Clean Gulf Associates Services, LLC",15000,3,2017,equinor
"Clean Gulf Associates Services, LLC",15000,3,2018,equinor
"Clean Gulf Associates, Inc.",15000,3,2015,equinor
"Clean Gulf Associates, Inc.",10000,2,2016,equinor
Clean Harbors Environmental Service,190106.94,1,2015,equinor
Clean Harbors Environmental Service,26770.52,1,2016,equinor
Clean Harbors Surface Rentals USA ,1675613.6,15,2015,equinor
Clean Harbors Surface Rentals USA ,477645.22,7,2016,equinor
Clean Harbors Surface Rentals USA ,46926.3,16,2017,equinor
Clean Harbors Surface Rentals USA ,23489.3,6,2018,equinor
"Clean Tank, LLC",1088737.71,58,2015,equinor
"Clean Tank, LLC",181470,8,2016,equinor
Clear Energy Services LLC,1662601.73,50,2017,equinor
Clear Energy Services LLC,6543742.91,53,2018,equinor
ClipperData LLC,88050.55,1,2015,equinor
ClipperData LLC,169734,2,2016,equinor
ClipperData LLC,285108,3,2018,equinor
"C-Logistics, LLC",4096665.2,27,2015,equinor
"C-Logistics, LLC",2290416.36,30,2016,equinor
"C-Logistics, LLC",1031166.41,25,2017,equinor
"C-Logistics, LLC",931677.06,23,2018,equinor
Cloud9 Technologies LLC,7710.39,13,2018,equinor
Clutch City Sports & Entertainment,154421,5,2017,equinor
Clutch City Sports & Entertainment,143195,3,2018,equinor
"Coastal Chemical Co., LLC",29462.85,18,2018,equinor
Coastal Supply Company,241275.12,218,2015,equinor
Coastal Supply Company,159771.38,124,2016,equinor
Coastal Supply Company,286884.29,165,2017,equinor
Coastal Supply Company,306596.88,138,2018,equinor
"Coastal, Inc",2556.18,3,2017,equinor
"Coastal, Inc",1660.1,1,2018,equinor
"Coates RV Williston, Inc.",97176,4,2015,equinor
Coating Specialties LLC,303977.86,10,2018,equinor
"Coats Engineering, Inc",82000,1,2015,equinor
"Cobia Controls, LLC",12083,2,2018,equinor
"Coen Energy, LLC",4990185.2,127,2017,equinor
"Coen Energy, LLC",5975759.7,138,2018,equinor
"Coil Tubing Partners, LLC.",3213523.13,48,2015,equinor
"Coil Tubing Partners, LLC.",1419186.77,26,2016,equinor
"Coil Tubing Partners, LLC.",4397657.47,68,2017,equinor
"Coil Tubing Partners, LLC.",6092427.59,62,2018,equinor
Cold Bore Technology Inc.,28000,1,2018,equinor
"Cole International Tubular Service,",35452.82,4,2015,equinor
"Cole International Tubular Service,",37745.91,5,2016,equinor
Colin Hecker Consulting L.L.C.,389055,33,2015,equinor
Colin Hecker Consulting L.L.C.,352195.1,26,2016,equinor
Colin Hecker Consulting L.L.C.,370254,35,2017,equinor
Colin Hecker Consulting L.L.C.,412077.19,23,2018,equinor
Colonial Parking Inc.,10667.77,6,2015,equinor
Colonial Parking Inc.,21193.66,9,2016,equinor
Colonial Parking Inc.,19678.31,10,2017,equinor
Colonial Parking Inc.,24814.14,14,2018,equinor
Colorado School of Mines,200000,1,2015,equinor
Colorado State University,19000,1,2017,equinor
Colter Energy Services USA Inc.,465323.5,19,2017,equinor
Colter Energy Services USA Inc.,836205.99,23,2018,equinor
Comcast,4989.49,31,2015,equinor
Comcast,417.36,8,2016,equinor
Comcast,1113.13,9,2017,equinor
Comcast,1294.85,10,2018,equinor
"Commercial Radio Systems, LLC",14361.92,10,2015,equinor
"Commercial Radio Systems, LLC",12127.9,12,2016,equinor
"Commercial Radio Systems, LLC",11082.73,13,2017,equinor
"Commercial Radio Systems, LLC",10539.16,12,2018,equinor
"Common Sense Inspection, Inc",1188130,504,2015,equinor
"Common Sense Inspection, Inc",815089,348,2016,equinor
"Common Sense Inspection, Inc",922127,216,2017,equinor
"Common Sense Inspection, Inc",1062760,229,2018,equinor
Commonwealth of Pennsylvania,270.63,1,2017,equinor
Compania Hill & Knowlton Mexico SA,26450,14,2015,equinor
"Compass Group USA, Inc.",405789.41,38,2016,equinor
"Compass Group USA, Inc.",511508.3,48,2017,equinor
"Compass Group USA, Inc.",643367.28,46,2018,equinor
Compass Lexecon LLC,4657.95,2,2016,equinor
Compass Lexecon LLC,175218.21,7,2017,equinor
Compass Lexecon LLC,38857.01,3,2018,equinor
"Competentia , Inc",477222.27,39,2017,equinor
"Competentia , Inc",6216481.19,393,2018,equinor
Complete Energy Services LLC,86322.39,4,2018,equinor
Complt Oilfield Mgt & Maint Inc,675,1,2015,equinor
Compressor Systems Inc,1381496.83,111,2015,equinor
Compressor Systems Inc,1062002.11,95,2016,equinor
Compressor Systems Inc,950356.65,74,2017,equinor
"CompuCom Systems, Inc.",45384.14,5,2016,equinor
"CompuCom Systems, Inc.",77784.45,10,2017,equinor
"CompuCom Systems, Inc.",121712.5,16,2018,equinor
Computer Modelling Group Ltd.,1075430.42,3,2016,equinor
Computer Training Solutions,388.18,1,2018,equinor
Computershare Shareholder,61142.81,13,2015,equinor
Computershare Shareholder,61832.83,12,2016,equinor
Computershare Shareholder,51205.03,11,2017,equinor
Computershare Shareholder,63834.29,11,2018,equinor
"Conduit Resources, Inc.",119616.25,1,2018,equinor
Conroe Instrument & Controls Co.,7781,1,2015,equinor
"Consolidated Pipe and Supply, Inc.",648970.99,5,2017,equinor
"Consolidated Pipe and Supply, Inc.",36515.38,1,2018,equinor
Consumer Energy Education Alliance,10000,1,2018,equinor
"Contek Solutions, LLC",242123.56,16,2015,equinor
"Contek Solutions, LLC",253174.91,19,2016,equinor
Control Risks Group Ltd.,46104.96,2,2015,equinor
Control Risks México SA de CV,62072.95,2,2015,equinor
Control Risks México SA de CV,181780.03,9,2016,equinor
"Conveyabull, Inc.",926650.31,133,2015,equinor
"Conveyabull, Inc.",52390.25,9,2016,equinor
"Coonrod Electric Co., Inc.",43478.46,15,2016,equinor
"Coonrod Electric Co., Inc.",26369.63,14,2017,equinor
"Coonrod Electric Co., Inc.",42207.28,14,2018,equinor
"Coordinated Moving Systems, Inc",125824.96,7,2015,equinor
"Coordinated Moving Systems, Inc",106550.81,4,2016,equinor
Core Laboratories Australia Pty Ltd,129066.49,4,2015,equinor
Core Laboratories LP,1255369.2,29,2015,equinor
Core Laboratories LP,744383.14,31,2016,equinor
Core Laboratories LP,370132.27,10,2017,equinor
Core Laboratories LP,52866.84,3,2018,equinor
"Core Services, Inc.",7262645.33,265,2015,equinor
"Core Services, Inc.",2460418.32,182,2016,equinor
"Core Services, Inc.",1255223.21,37,2017,equinor
"Core Services, Inc.",4661660.31,74,2018,equinor
Corporate Caterers - South Houston,17205.53,60,2015,equinor
Corporate Caterers - South Houston,9060.39,26,2016,equinor
Corporate Catering Concierge,26519.26,70,2016,equinor
Corporate Catering Concierge,36985.29,98,2017,equinor
Corporate Catering Concierge,52025.92,146,2018,equinor
"Corporate Mobile Housing, LLC",665289.85,131,2015,equinor
"Corporate Mobile Housing, LLC",562969.86,122,2016,equinor
"Corporate Mobile Housing, LLC",364717.05,174,2017,equinor
"Corporate Mobile Housing, LLC",679834.44,310,2018,equinor
"Corporate Services, LLC",32403,3,2015,equinor
"Corporate Services, LLC",7000,1,2016,equinor
"Corporate Services, LLC",3702.15,1,2017,equinor
"Corporate Services, LLC",3702.15,1,2018,equinor
Corporation Service Company,6104.96,19,2015,equinor
Corporation Service Company,8179.08,19,2016,equinor
Corporation Service Company,10320.59,26,2017,equinor
Corporation Service Company,89689.36,187,2018,equinor
"Corpro, Inc.",857968.56,2,2015,equinor
"Corval Constructors, Inc.",832681.49,8,2018,equinor
COS LLC,6297.5,8,2016,equinor
COS LLC,44907.5,95,2017,equinor
COS LLC,136789.73,240,2018,equinor
Cothron Security Solutions LLC,270.62,2,2015,equinor
Cothron Security Solutions LLC,1645.34,5,2016,equinor
Cothron Security Solutions LLC,6522.02,7,2018,equinor
Cougar Drilling Solutions USA Inc.,32638.36,2,2016,equinor
Cougar Drilling Solutions USA Inc.,33676.92,6,2017,equinor
Cougar Drilling Solutions USA Inc.,11147.58,1,2018,equinor
Council of Petroleum Accountants,1250,1,2017,equinor
Council of Petroleum Accountants,9250,2,2018,equinor
Country Floral,595.43,6,2015,equinor
Country Floral,134.95,2,2016,equinor
Country Floral,237.59,3,2017,equinor
Country Floral,327.17,3,2018,equinor
Covington & Burling LLP,493261.16,20,2015,equinor
Covington & Burling LLP,40666.58,9,2016,equinor
Covington & Burling LLP,432403.29,11,2017,equinor
Covington & Burling LLP,651775.88,14,2018,equinor
Coyote Catering,7839.48,4,2015,equinor
Coyote Septic Services,113960,41,2015,equinor
"C-Port/Stone, LLC",13654809.33,275,2015,equinor
"C-Port/Stone, LLC",815556.73,36,2016,equinor
"C-Port/Stone, LLC",1380916.18,81,2017,equinor
"C-Port/Stone, LLC",1870464.58,76,2018,equinor
"CR Inspections, Inc.",293797,88,2015,equinor
"CR Inspections, Inc.",174470.22,73,2016,equinor
"CR Inspections, Inc.",1633679.72,432,2017,equinor
"CR Inspections, Inc.",1835857.21,444,2018,equinor
"CRA International, Inc.",64987.43,1,2017,equinor
Craft Electric Inc,5930093.56,424,2015,equinor
Craft Electric Inc,2463771.3,272,2016,equinor
Craft Electric Inc,2647745.33,1002,2017,equinor
Craft Electric Inc,1041150.62,902,2018,equinor
Craig Charbonnet,247937.64,115,2015,equinor
Craig Charbonnet,112749.48,34,2016,equinor
Craig Charbonnet,147002.81,27,2017,equinor
Craig Charbonnet,127619.25,23,2018,equinor
"Craig Energy, LLC",8087813,283,2015,equinor
"Craig Energy, LLC",803720.34,46,2016,equinor
Crawford Consulting,1379066.58,86,2015,equinor
Crawford Consulting,2091073.01,52,2016,equinor
Crawford Consulting,1987485.7,48,2017,equinor
Crawford Consulting,1269544.6,44,2018,equinor
"Crawford Safety Consulting, LLC",862257.88,238,2015,equinor
"Creation Carpets of North Dakota, L",16805.17,2,2015,equinor
"Creation Carpets of North Dakota, L",12886.97,1,2016,equinor
Crescent,3921237.72,52,2015,equinor
Crescent,3346189.58,33,2016,equinor
Crescent,1772389.26,27,2017,equinor
"Cronus Technology, Inc.",272753.65,10,2018,equinor
"Cross Texas Land Services, Inc",1002.5,4,2015,equinor
Crowe and Dunlevy,9879.5,7,2015,equinor
Crowe and Dunlevy,6262.5,6,2016,equinor
Crowley Fleck PLLP,210793.33,19,2015,equinor
Crowley Fleck PLLP,53014,18,2016,equinor
Crowley Fleck PLLP,29137.06,21,2017,equinor
Crowley Fleck PLLP,82834.45,19,2018,equinor
Crowne Plaza Stamford,17860.27,2,2015,equinor
Crowne Plaza Stamford,7772.98,1,2016,equinor
Cruz Energy Services LLC,6114413.28,68,2015,equinor
Cruz Energy Services LLC,2013684.27,48,2016,equinor
Cruz Energy Services LLC,2016374.35,26,2017,equinor
Cruz Energy Services LLC,677814.41,5,2018,equinor
"Crystal Communications, Ltd.",4775.44,1,2016,equinor
CS Trucking LLC,65712.5,10,2017,equinor
CS Trucking LLC,81268,36,2018,equinor
CSC,25397.1,48,2015,equinor
CSC,27741.08,50,2016,equinor
CSC,55050.24,110,2017,equinor
CSC,76919.25,132,2018,equinor
"CSE ICON, Inc.",722817.61,99,2015,equinor
"CSE ICON, Inc.",913670.57,153,2016,equinor
"CSE ICON, Inc.",1040947.1,136,2017,equinor
"CSE ICON, Inc.",212288.26,72,2018,equinor
CSI Compressco LP,258337.3,39,2015,equinor
CSI Compressco LP,45474,11,2016,equinor
CSI Compressco LP,366429.08,34,2017,equinor
CSI Compressco LP,827263.2,59,2018,equinor
CSI Inspection LLC,43628.78,2,2015,equinor
CSI Inspection LLC,286863.54,148,2016,equinor
CSI Inspection LLC,216733.8,120,2017,equinor
CSI Inspection LLC,313698.06,66,2018,equinor
CSIS - Center for Strategic &,145928.32,4,2018,equinor
"CTAP, LLC",7683428.11,99,2015,equinor
"CTAP, LLC",24271095.07,446,2016,equinor
"CTAP, LLC",20767840.25,265,2017,equinor
"CTAP, LLC",-2915.53,1,2018,equinor
"Cudd Pressure Control, Inc.",10871421.35,22,2015,equinor
"Cudd Pressure Control, Inc.",315932.98,25,2016,equinor
"Cudd Pressure Control, Inc.",376532.73,24,2017,equinor
"Cudd Pressure Control, Inc.",298136.36,16,2018,equinor
Cudd Pumping Services Inc,4210.15,1,2018,equinor
Custom Computers Limited,15831.05,6,2017,equinor
"Cutpoint, Inc",11533.71,1,2018,equinor
"Cvent, Inc",22330.56,3,2017,equinor
"Cvent, Inc",44800.09,6,2018,equinor
CVI Solutions,19035.48,1,2015,equinor
CVI Solutions,63826.33,6,2017,equinor
Cypress Energy Partners,2511.85,1,2018,equinor
"Cypress Engine Accessories, LLC.",14955.02,2,2015,equinor
"Cypress Engine Accessories, LLC.",1080.5,1,2016,equinor
CyrusOne Networks LLC,2999683.5,63,2015,equinor
CyrusOne Networks LLC,2231228.6,51,2016,equinor
CyrusOne Networks LLC,1527279.03,34,2017,equinor
CyrusOne Networks LLC,1000740.48,49,2018,equinor
D And J Transport Inc,30574.35,14,2015,equinor
D And J Transport Inc,640,1,2016,equinor
D And J Transport Inc,3280,4,2017,equinor
D And L Paraffin Inc,40537,79,2015,equinor
D And L Paraffin Inc,4301,8,2016,equinor
D And L Paraffin Inc,1016,1,2018,equinor
D&B Flowback LLC,100031,14,2017,equinor
D&B Flowback LLC,99304.95,10,2018,equinor
D&B Rental Services,349258.11,70,2015,equinor
D&B Rental Services,267684.72,61,2016,equinor
D&B Rental Services,532443.65,111,2017,equinor
D&B Rental Services,610216.54,148,2018,equinor
"D.E. Harvey Builders, Inc.",300551.35,3,2015,equinor
"D.E. Harvey Builders, Inc.",317419,5,2016,equinor
"DAC Energy, LLC",6680687.55,271,2015,equinor
"DAC Energy, LLC",4150300.54,192,2016,equinor
"DAC Energy, LLC",2250663.96,131,2017,equinor
"DAC Energy, LLC",3166184.29,150,2018,equinor
Dakota Deadman,668650.1,408,2015,equinor
Dakota Deadman,609032,393,2016,equinor
Dakota Deadman,586011.5,335,2017,equinor
Dakota Deadman,1342539,597,2018,equinor
Dakota Fence,18288.75,2,2015,equinor
Dakota Fence,136920.98,4,2018,equinor
"Dakota Kid, LLC",3699.83,13,2018,equinor
Dalton Trucking Inc.,42527.5,2,2018,equinor
"Danos, L.L.C.",124027.09,20,2016,equinor
"Danos, L.L.C.",399849.36,11,2018,equinor
Darby'S Welding And Machine Inc,123849.47,65,2015,equinor
Darby'S Welding And Machine Inc,484417.57,71,2016,equinor
Darby'S Welding And Machine Inc,294920.13,89,2017,equinor
Darby'S Welding And Machine Inc,1032504.38,69,2018,equinor
"Dartcor Enterprises, Inc.",120518.86,108,2018,equinor
Data Scavenger US Inc.,71878,13,2015,equinor
Data Scavenger US Inc.,67762,10,2016,equinor
Data Scavenger US Inc.,151632.42,16,2017,equinor
Data Scavenger US Inc.,95039.05,10,2018,equinor
Datawatch Systems,2285.16,12,2015,equinor
Datawatch Systems,2471.48,13,2016,equinor
Datawatch Systems,3333.83,14,2017,equinor
Datawatch Systems,2505.21,12,2018,equinor
David & Son Heating & Air,3349,3,2016,equinor
"David Bodo & Associates, Inc.",57576,11,2015,equinor
"David Bodo & Associates, Inc.",52712.25,15,2016,equinor
"David Bodo & Associates, Inc.",1250,1,2017,equinor
"Davis - Ulmer Sprinkler Company, In",2658.76,2,2015,equinor
"Davis - Ulmer Sprinkler Company, In",3001.21,4,2016,equinor
"Davis - Ulmer Sprinkler Company, In",4725.91,4,2017,equinor
"Davis - Ulmer Sprinkler Company, In",4447.56,3,2018,equinor
"Davis Polk & Wardwell, LLP",400850.9,1,2015,equinor
Dc Power Tongs LLC,96768.75,9,2016,equinor
Dc Power Tongs LLC,1238539.36,137,2017,equinor
Dc Power Tongs LLC,278340.79,34,2018,equinor
DCF Blue Baker LLC,5127.26,29,2015,equinor
DCF Blue Baker LLC,8427.7,53,2016,equinor
DCF Blue Baker LLC,23204.05,104,2017,equinor
DCF Blue Baker LLC,26552.18,163,2018,equinor
Dcp Midstream Lp,421.15,10,2017,equinor
Dcp Midstream Lp,638.1,15,2018,equinor
DD Fluids LLC,4488273.89,24,2017,equinor
DD Fluids LLC,12652668.03,43,2018,equinor
De Groot Bril Earth Sciences,50617.7,1,2017,equinor
De Groot Bril Earth Sciences,12773.5,1,2018,equinor
Deal's Consulting Inc.,2165,1,2016,equinor
Deal's Consulting Inc.,2165,1,2017,equinor
Deal's Consulting Inc.,2000,1,2018,equinor
"DEBCO, INC",124283.75,15,2017,equinor
"DEBCO, INC",125672.96,17,2018,equinor
Debner+Company,65079.16,9,2017,equinor
Debner+Company,80733.03,7,2018,equinor
"Decca Consulting, Inc.",8195571.28,539,2015,equinor
"Decca Consulting, Inc.",7855547.91,661,2016,equinor
"Decca Consulting, Inc.",12612299.91,1121,2017,equinor
"Decca Consulting, Inc.",15027200.33,1193,2018,equinor
Deep Well Services,2298909.52,36,2015,equinor
Deep Well Services,2377408.72,19,2016,equinor
Deep Well Services,4425161.3,39,2017,equinor
Deep Well Services,3098850.98,31,2018,equinor
DeepEarth Technologies Inc.,49668.86,6,2015,equinor
"DeepRock Disposal Solutions, LLC",486589.01,93,2018,equinor
"Deepwell Energy Services, LLC",831729.24,15,2018,equinor
"Deer Valley Trucking, Inc.",926.4,1,2015,equinor
Degolyer and MacNaughton,261600,2,2018,equinor
"Del Mar Scientific Acquisition, Ltd",3118.21,3,2016,equinor
"Del Mar Scientific Acquisition, Ltd",16702.59,4,2017,equinor
Delaware Bay & River Cooperative,47040,6,2015,equinor
DeLeon Consulting Group,164898.88,51,2016,equinor
DeLeon Consulting Group,103579.5,32,2017,equinor
"Deli Management, Inc.",1503.17,9,2015,equinor
"Deli Management, Inc.",733.76,6,2016,equinor
Dell Financial Services,843032.24,6,2018,equinor
Dell Inc,1159.22,1,2016,equinor
Dell Marketing L.P.,69006.56,2,2016,equinor
Dell Marketing L.P.,3507.3,1,2018,equinor
Deloitte Consulting LLP,755168.06,19,2015,equinor
Deloitte Consulting LLP,154234.07,1,2016,equinor
Deloitte Consulting LLP,1440116.27,11,2017,equinor
Deloitte Consulting LLP,927680.31,25,2018,equinor
Deloitte Consulting Product Service,53648.7,2,2017,equinor
Deloitte Tax LLP,605994.54,6,2015,equinor
Deloitte Tax LLP,761369.01,14,2016,equinor
Deloitte Tax LLP,588810.87,10,2017,equinor
Deloitte Tax LLP,756500,6,2018,equinor
"Delta Constructors, LLC",11356913.21,549,2018,equinor
Deltaware Incorporated,11033.71,3,2018,equinor
Delwar Enterprises LLC,29487.53,6,2016,equinor
Delwar Enterprises LLC,10229.63,1,2017,equinor
Delwar Enterprises LLC,4900,1,2018,equinor
"Dennis Steel, Inc.",13400,1,2015,equinor
Dentons,7236.51,4,2017,equinor
Derrick Corporation,116721.84,18,2015,equinor
Derrick Corporation,65941.5,10,2016,equinor
Derrick Corporation,208858.27,44,2017,equinor
Derrick Corporation,404401.35,47,2018,equinor
"Desert NDT, LLC",205079.5,74,2017,equinor
"Desert NDT, LLC",402319.8,182,2018,equinor
"Det Norske Veritas (U.S.A.), Inc.",19587.37,2,2016,equinor
"Deutsche Bank AG,",25376.53,8,2015,equinor
"Deutsche Bank AG,",22010.21,5,2016,equinor
"Deutsche Bank AG,",3859.03,3,2017,equinor
"Deutsche Bank AG,",7835.31,3,2018,equinor
"Deyo Consulting Services, LLC",2308665.61,142,2015,equinor
"Deyo Consulting Services, LLC",1323242.81,98,2016,equinor
"Deyo Consulting Services, LLC",2221974.91,166,2017,equinor
"Deyo Consulting Services, LLC",1889969.01,134,2018,equinor
Diamond Resources Inc,613.37,1,2015,equinor
"Digital Netwoks, LLc",31170.95,16,2016,equinor
"Digital Netwoks, LLc",151505.27,137,2017,equinor
"Digital Netwoks, LLc",170514.93,148,2018,equinor
DigitalGlobe Inc.,86600,1,2016,equinor
DigitalGlobe Inc.,86600,1,2017,equinor
DigitalGlobe Inc.,86600,1,2018,equinor
Dimension Data North America Inc,1576114.88,68,2015,equinor
Dimension Data North America Inc,157830.61,29,2016,equinor
Dimension Data North America Inc,213117.88,9,2017,equinor
Dimension Data North America Inc,158933.23,31,2018,equinor
DimEye Corp.,42400,2,2018,equinor
"Direct Energy Business, LLC",3454.88,6,2017,equinor
"Direct Energy Business, LLC",206.79,10,2018,equinor
"DirectEmployers Association, Inc.",15000,1,2017,equinor
"DirectEmployers Association, Inc.",15000,1,2018,equinor
DIRECTV,3166.49,17,2015,equinor
