Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
"Acme Truck Line, Inc",172773.22,304,2017,equinor
"Acme Truck Line, Inc",270865.24,379,2018,equinor
"ACS FLOORING GROUP, INC",162.38,1,2018,equinor
"ACS Maintenance Solutions, Inc",3398.27,1,2016,equinor
"ACS Maintenance Solutions, Inc",64938.1,17,2017,equinor
"ACS Maintenance Solutions, Inc",62672.83,16,2018,equinor
ACT Global Consulting Inc,3639004.94,62,2015,equinor
ACT Global Consulting Inc,1449704.69,36,2016,equinor
ACT Global Consulting Inc,893105,26,2017,equinor
ACT Global Consulting Inc,754931.66,30,2018,equinor
Actenum Corporation,72849.25,3,2015,equinor
Actenum Corporation,64950,1,2016,equinor
Action Specialties LLC,28280.25,10,2015,equinor
Active Data Solutions LLC,758.12,1,2016,equinor
"Acuren Inspection, Inc",35119.6,18,2018,equinor
Adams and Reese LLP,556916.18,24,2015,equinor
Adams and Reese LLP,1489121.78,18,2016,equinor
Adams and Reese LLP,1727243.59,25,2017,equinor
Adams and Reese LLP,421509.62,17,2018,equinor
Add Energy LLC,183500,10,2015,equinor
"ADP, Inc.",290961.29,93,2015,equinor
"ADP, Inc.",338726.89,59,2016,equinor
"ADP, Inc.",307863.23,91,2017,equinor
"ADP, Inc.",252633.59,50,2018,equinor
ADT Security Services,2039.01,7,2015,equinor
ADT Security Services,616.99,1,2016,equinor
ADT Security Services,606.96,1,2017,equinor
Advanced Resources International In,140000,4,2015,equinor
Advanced Resources International In,231416.89,5,2016,equinor
Advanced Resources International In,178500,1,2017,equinor
Advanced Resources International In,160000,1,2018,equinor
"Advanced Sonics, LLC",20231.01,2,2017,equinor
Advanced Supply Chain International,752036.88,27,2015,equinor
Advanced Supply Chain International,2635317.39,104,2016,equinor
Advanced Supply Chain International,3691488.53,157,2017,equinor
Advanced Supply Chain International,4303617.79,152,2018,equinor
Advanced Technologies Industrial,1648032.14,99,2015,equinor
Advanced Technologies Industrial,20670,1,2016,equinor
"Advantek Waste Management,",245687,37,2017,equinor
"Advantek Waste Management,",1231632,165,2018,equinor
Advokatfirmaet Thommessen AS,9958.72,5,2016,equinor
Advokatfirmaet Thommessen AS,4629.74,7,2017,equinor
Advokatfirmaet Thommessen AS,1353.8,2,2018,equinor
"AE2S Construction, LLC",67815,12,2018,equinor
"Aerion Rental Services, LLC",70257.97,20,2018,equinor
"AES Drilling Fluids, LLC",5170406.86,12,2018,equinor
"Aetna Behavrioral Health, LLC",21600,12,2015,equinor
"Aetna Behavrioral Health, LLC",21600,12,2016,equinor
"Aetna Behavrioral Health, LLC",19800,11,2017,equinor
"Aetna, Inc.",19572275.51,12,2015,equinor
"Aetna, Inc.",18153374.2,12,2016,equinor
"Aetna, Inc.",17796381.05,12,2017,equinor
"Aetna, Inc.",21281341.69,38,2018,equinor
AFC Transportation,4134.69,1,2015,equinor
AFMA Inc.,1262.2,3,2016,equinor
Agar Canada Corporation,70000,2,2017,equinor
Aggreko LLC,243621.09,64,2015,equinor
Aggreko LLC,6435.87,2,2016,equinor
Aggreko LLC,44548.51,4,2017,equinor
Aggreko LLC,201283.73,11,2018,equinor
"AGI Industries, Inc",3896.44,2,2016,equinor
"AGI Industries, Inc",42587.77,19,2018,equinor
Agile Ofis,14694.96,1,2016,equinor
Agile Ofis,2899.26,2,2017,equinor
Agile Upstream Group Inc.,159127.5,1,2018,equinor
"Ainsworth Trucking, L.P.",605.6,1,2016,equinor
"Air and Process Services, LLC",14966.4,1,2017,equinor
"Air and Process Services, LLC",16587.8,3,2018,equinor
"Air Compressor Energy Sys., INC(ACE",389895,1,2017,equinor
"Air Compressor Energy Sys., INC(ACE",10667.25,2,2018,equinor
Air Drilling Associates Inc,43965,7,2017,equinor
Air Drilling Associates Inc,922560.14,30,2018,equinor
"Air Hygiene International, Inc.",27587.5,8,2016,equinor
"Air Hygiene International, Inc.",52700,12,2017,equinor
"Air Hygiene International, Inc.",5600,2,2018,equinor
"Airdyne International, LTD",19614.91,2,2015,equinor
"Airdyne International, LTD",61912.79,2,2016,equinor
"Airgas On-Site Safety Services, Inc",30338.54,8,2015,equinor
"Airgas On-Site Safety Services, Inc",7722.5,2,2016,equinor
"Airgas On-Site Safety Services, Inc",900.72,1,2017,equinor
"Airgas On-Site Safety Services, Inc",3889.87,2,2018,equinor
Airgas USA LLC,2928.28,6,2015,equinor
Airgas USA LLC,2694.92,10,2016,equinor
