Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
111095190.430000	2018	29.500000	"con edison"	"lk comstock & co"
0.000000	2016	29.500000	"con edison"	"lk comstock & co"
0.000000	2016	29.500000	"con edison"	"lk comstock & co"
31533440.790000	2017	29.500000	"con edison"	"lk comstock & co"
0.000000	2018	40.750000	"con edison"	"lockheed martin services"
9773079.980000	2016	40.750000	"con edison"	"lockheed martin services"
307057.100000	2017	40.750000	"con edison"	"lockheed martin services"
9773079.980000	2016	40.750000	"con edison"	"lockheed martin services"
3586343.750000	2017	438.250000	"con edison"	"m t deason co"
2334419.730000	2016	438.250000	"con edison"	"m t deason co"
6155354.350000	2018	438.250000	"con edison"	"m t deason co"
2334419.730000	2016	438.250000	"con edison"	"m t deason co"
5081394.930000	2016	15.500000	"con edison"	"m&r energy resources corp"
5465379.900000	2017	15.500000	"con edison"	"m&r energy resources corp"
5288381.540000	2018	15.500000	"con edison"	"m&r energy resources corp"
5081394.930000	2016	15.500000	"con edison"	"m&r energy resources corp"
16419407.020000	2017	397.750000	"con edison"	"manetta industries"
9986641.380000	2016	397.750000	"con edison"	"manetta industries"
9986641.380000	2016	397.750000	"con edison"	"manetta industries"
21030042.080000	2018	397.750000	"con edison"	"manetta industries"
498699.300000	2016	73.500000	"con edison"	"maser consulting pa"
498699.300000	2016	73.500000	"con edison"	"maser consulting pa"
353498.750000	2018	73.500000	"con edison"	"maser consulting pa"
344257.500000	2017	73.500000	"con edison"	"maser consulting pa"
9297029.600000	2017	10.750000	"con edison"	"mass electric construction co"
3870668.110000	2018	10.750000	"con edison"	"mass electric construction co"
7771349.480000	2016	10.750000	"con edison"	"mass electric construction co"
7771349.480000	2016	10.750000	"con edison"	"mass electric construction co"
3980000.000000	2017	9.000000	"con edison"	"mckinsey & co  united states"
10886556.560000	2018	9.000000	"con edison"	"mckinsey & co  united states"
750000.000000	2016	9.000000	"con edison"	"mckinsey & co  united states"
750000.000000	2016	9.000000	"con edison"	"mckinsey & co  united states"
40271690.080000	2016	625.500000	"con edison"	"mecc contracting"
40271690.080000	2016	625.500000	"con edison"	"mecc contracting"
47404315.800000	2017	625.500000	"con edison"	"mecc contracting"
59982553.440000	2018	625.500000	"con edison"	"mecc contracting"
470372.000000	2018	9.500000	"con edison"	"mercer"
755962.580000	2016	9.500000	"con edison"	"mercer"
598035.700000	2017	9.500000	"con edison"	"mercer"
755962.580000	2016	9.500000	"con edison"	"mercer"
182909.650000	2016	162.250000	"con edison"	"meter readings holding"
63880657.750000	2018	162.250000	"con edison"	"meter readings holding"
48679714.310000	2017	162.250000	"con edison"	"meter readings holding"
182909.650000	2016	162.250000	"con edison"	"meter readings holding"
14015995.630000	2016	55.000000	"con edison"	"mfm contracting corp"
5776474.930000	2017	55.000000	"con edison"	"mfm contracting corp"
14015995.630000	2016	55.000000	"con edison"	"mfm contracting corp"
9047450.340000	2018	55.000000	"con edison"	"mfm contracting corp"
6598980.660000	2016	11.250000	"con edison"	"michels corp"
6155940.030000	2018	11.250000	"con edison"	"michels corp"
179678.000000	2017	11.250000	"con edison"	"michels corp"
6598980.660000	2016	11.250000	"con edison"	"michels corp"
704464.230000	2016	14.250000	"con edison"	"microflex"
704464.230000	2016	14.250000	"con edison"	"microflex"
24593.140000	2018	14.250000	"con edison"	"microflex"
323831.630000	2017	14.250000	"con edison"	"microflex"
1422767.500000	2017	10.500000	"con edison"	"moodys investors service"
1422767.500000	2017	10.500000	"con edison"	"moodys investors service"
1764852.030000	2018	10.500000	"con edison"	"moodys investors service"
1764852.030000	2018	10.500000	"con edison"	"moodys investors service"
1389905.000000	2016	10.500000	"con edison"	"moodys investors service"
1389905.000000	2016	10.500000	"con edison"	"moodys investors service"
1389905.000000	2016	10.500000	"con edison"	"moodys investors service"
