Supplier	Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Record_Count
"Accenture LLP"	1062974.790000	11.000000	2015	"equinor"	3
"Accenture LLP"	381861.390000	11.000000	2016	"equinor"	1
"Accenture LLP"	340342.640000	8.000000	2017	"equinor"	2
"Accenture LLP"	8873761.870000	53.000000	2018	"equinor"	5
"Accountemps"	38643.420000	20.000000	2015	"equinor"	2
"Accountemps"	39934.160000	18.000000	2016	"equinor"	2
"Accountemps"	88735.300000	18.000000	2017	"equinor"	1
"Accounting Principals,Inc."	87486.200000	18.000000	2016	"equinor"	1
"Accounting Principals,Inc."	28407.030000	7.000000	2017	"equinor"	2
"Accounting Principals,Inc."	182815.740000	47.000000	2018	"equinor"	2
"AccuConference by Arkadin"	145.690000	3.000000	2015	"equinor"	1
"AccuConference by Arkadin"	263.510000	6.000000	2018	"equinor"	2
"Accurate Measurement Controls, Inc."	197651.000000	2.000000	2015	"equinor"	1
"Accurate Valve Services Inc"	500.000000	3.000000	2015	"equinor"	1
"Accurate Water Inc."	4319.790000	6.000000	2015	"equinor"	1
"Accurate Water Inc."	2498.850000	3.000000	2016	"equinor"	1
"Accurate Water Inc."	817.460000	1.000000	2017	"equinor"	1
"Accurate Water Inc."	8100.600000	4.000000	2018	"equinor"	1
"Accurate Wellhead Inc"	144707.770000	200.000000	2015	"equinor"	1
"Accurate Wellhead Inc"	260306.670000	345.000000	2016	"equinor"	1
"Accurate Wellhead Inc"	206669.670000	111.000000	2017	"equinor"	2
"Accurate Wellhead Inc"	5134.300000	2.000000	2018	"equinor"	1
"Accutant Solutions LLC"	10050.000000	1.000000	2017	"equinor"	1
"Accutant Solutions LLC"	9000.000000	1.000000	2018	"equinor"	1
"Ace High Consulting"	19041.040000	1.000000	2015	"equinor"	1
"Ace High Consulting"	400806.360000	18.000000	2016	"equinor"	1
"Ace High Consulting"	357180.000000	15.000000	2017	"equinor"	1
"Ace High Consulting"	401996.000000	14.000000	2018	"equinor"	2
"Acme Rubber Stamp Inc."	53.180000	1.000000	2015	"equinor"	1
"Acme Rubber Stamp Inc."	279.200000	2.000000	2017	"equinor"	1
"Acme Rubber Stamp Inc."	1135.830000	2.000000	2018	"equinor"	1
"Acme Truck Line, Inc"	954723.290000	681.000000	2015	"equinor"	1
"Acme Truck Line, Inc"	251495.950000	254.000000	2016	"equinor"	2
"Acme Truck Line, Inc"	172773.220000	304.000000	2017	"equinor"	2
"Acme Truck Line, Inc"	270865.240000	379.000000	2018	"equinor"	2
"ACS FLOORING GROUP, INC"	162.380000	1.000000	2018	"equinor"	1
"ACS Maintenance Solutions, Inc"	3398.270000	1.000000	2016	"equinor"	1
"ACS Maintenance Solutions, Inc"	64938.100000	17.000000	2017	"equinor"	1
"ACS Maintenance Solutions, Inc"	62672.830000	16.000000	2018	"equinor"	1
"ACT Global Consulting Inc"	3639004.940000	62.000000	2015	"equinor"	4
"ACT Global Consulting Inc"	1449704.690000	36.000000	2016	"equinor"	2
"ACT Global Consulting Inc"	893105.000000	26.000000	2017	"equinor"	2
