Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Supplier_ref
514116.960000	9.000000	2015	"oxy"	"1717 pennsylvania ave lp"
	0.000000	2016	"oxy"	"1717 pennsylvania ave lp"
584730.180000	11.000000	2013	"oxy"	"1717 pennsylvania ave lp"
673044.320000	12.000000	2014	"oxy"	"1717 pennsylvania ave lp"
84000.000000	2.000000	2018	"oxy oil & gas"	"1e"
84000.000000	2.000000	2016	"oxy oil & gas"	"1e"
		2015	"oxy oil & gas"	"1e"
111997.600000	6.000000	2017	"oxy oil & gas"	"1e"
		2017	"oxy oil & gas"	"1e"
		2016	"oxy oil & gas"	"1e"
		2018	"oxy oil & gas"	"1e"
565258.600000	12.000000	2015	"oxy oil & gas"	"1e"
971015.120000	536.000000	2018	"oxy oil & gas"	"247 welding services"
1473855.380000	402.000000	2017	"oxy oil & gas"	"247 welding services"
746688.690000	383.000000	2016	"oxy oil & gas"	"247 welding services"
268101.830000	156.000000	2015	"oxy oil & gas"	"247 welding services"
		2017	"oxy oil & gas"	"3 s services"
1586740.110000	1335.000000	2016	"oxy oil & gas"	"3 s services"
		2018	"oxy oil & gas"	"3 s services"
1276.360000	1.000000	2015	"oxy oil & gas"	"3 s services"
7925795.530000	7969.000000	2016	"oxy"	"3s services"
6907504.980000	7782.000000	2014	"oxy"	"3s services"
12682753.510000	10581.000000	2015	"oxy"	"3s services"
881589.050000	448.000000	2016	"oxy oil & gas"	"3s services"
		2018	"oxy oil & gas"	"3s services"
2057336.120000	1497.000000	2013	"oxy"	"3s services"
		2017	"oxy oil & gas"	"3s services"
13504721.170000	11650.000000	2015	"oxy oil & gas"	"3s services"
		2016	"oxy oil & gas"	"3d imaging technology"
		2015	"oxy oil & gas"	"3d imaging technology"
		2017	"oxy oil & gas"	"3d imaging technology"
17500.000000	2.000000	2018	"oxy oil & gas"	"3d imaging technology"
156810.220000	21.000000	2017	"oxy oil & gas"	"3d results"
80910.790000	14.000000	2018	"oxy oil & gas"	"3d results"
		2015	"oxy oil & gas"	"3d results"
		2016	"oxy oil & gas"	"3d results"
		2016	"oxy oil & gas"	"3es innovation"
658362.500000	11.000000	2017	"oxy oil & gas"	"3es innovation"
956118.400000	12.000000	2018	"oxy oil & gas"	"3es innovation"
		2015	"oxy oil & gas"	"3es innovation"
0.000000	3.000000	2016	"oxy oil & gas"	"3h trucking"
7044556.460000	3266.000000	2013	"oxy"	"3h trucking"
		2018	"oxy oil & gas"	"3h trucking"
0.000000	2.000000	2015	"oxy"	"3h trucking"
		2017	"oxy oil & gas"	"3h trucking"
6806357.320000	3846.000000	2014	"oxy"	"3h trucking"
	0.000000	2016	"oxy"	"3h trucking"
-970262.020000	845.000000	2015	"oxy oil & gas"	"3h trucking"
26522.710000	112.000000	2016	"oxy oil & gas"	"3m co"
41405.160000	180.000000	2015	"oxy oil & gas"	"3m co"
		2018	"oxy oil & gas"	"3m co"
30096.180000	122.000000	2017	"oxy oil & gas"	"3m co"
	0.000000	2013	"oxy"	"3rd rock logistics"
1444121.540000	553.000000	2014	"oxy"	"3rd rock logistics"
	0.000000	2016	"oxy"	"3rd rock logistics"
6368492.830000	2002.000000	2015	"oxy"	"3rd rock logistics"
9587464.000000	10650.000000	2016	"oxy oil & gas"	"3s services"
37608297.260000	24789.000000	2018	"oxy oil & gas"	"3s services"
		2015	"oxy oil & gas"	"3s services"
18190975.770000	23185.000000	2017	"oxy oil & gas"	"3s services"
		2016	"oxy oil & gas"	"3v industrial"
2950.000000	1.000000	2018	"oxy oil & gas"	"3v industrial"
396736.000000	26.000000	2017	"oxy oil & gas"	"3v industrial"
		2015	"oxy oil & gas"	"3v industrial"
4003.000000	2.000000	2016	"oxy oil & gas"	"4k spooling banding sales & service"
		2018	"oxy oil & gas"	"4k spooling banding sales & service"
		2017	"oxy oil & gas"	"4k spooling banding sales & service"
		2015	"oxy oil & gas"	"4k spooling banding sales & service"
	0.000000	2014	"oxy"	"5005 lbj tower"
	0.000000	2013	"oxy"	"5005 lbj tower"
5729627.890000	42.000000	2016	"oxy"	"5005 lbj tower"
	0.000000	2015	"oxy"	"5005 lbj tower"
		2016	"oxy oil & gas"	"5j oilfield services"
1760.000000	1.000000	2015	"oxy oil & gas"	"5j oilfield services"
1260.000000	1.000000	2018	"oxy oil & gas"	"5j oilfield services"
		2017	"oxy oil & gas"	"5j oilfield services"
	0.000000	2014	"oxy"	"760 new brunswick urban renewal"
1613003.140000	13.000000	2016	"oxy"	"760 new brunswick urban renewal"
2266182.230000	19.000000	2015	"oxy"	"760 new brunswick urban renewal"
	0.000000	2013	"oxy"	"760 new brunswick urban renewal"
		2016	"oxy oil & gas"	"a tech air conditioning & heating"
		2018	"oxy oil & gas"	"a tech air conditioning & heating"
		2017	"oxy oil & gas"	"a tech air conditioning & heating"
6528.220000	1.000000	2015	"oxy oil & gas"	"a tech air conditioning & heating"
		2016	"oxy oil & gas"	"a&p oilfield trucking services"
2147262.920000	287.000000	2018	"oxy oil & gas"	"a&p oilfield trucking services"
		2017	"oxy oil & gas"	"a&p oilfield trucking services"
		2015	"oxy oil & gas"	"a&p oilfield trucking services"
27126.470000	82.000000	2016	"oxy oil & gas"	"a1 delivery services"
33097.540000	82.000000	2017	"oxy oil & gas"	"a1 delivery services"
22898.100000	72.000000	2015	"oxy oil & gas"	"a1 delivery services"
36253.100000	72.000000	2018	"oxy oil & gas"	"a1 delivery services"
40967.630000	155.000000	2016	"oxy oil & gas"	"a1 janitorial"
44835.850000	156.000000	2017	"oxy oil & gas"	"a1 janitorial"
40536.580000	146.000000	2015	"oxy oil & gas"	"a1 janitorial"
44613.840000	153.000000	2018	"oxy oil & gas"	"a1 janitorial"
122455.720000	238.000000	2016	"oxy oil & gas"	"a1 sign engravers"
165107.180000	441.000000	2015	"oxy oil & gas"	"a1 sign engravers"
112322.150000	375.000000	2017	"oxy oil & gas"	"a1 sign engravers"
110299.620000	461.000000	2018	"oxy oil & gas"	"a1 sign engravers"
105752.890000	360.000000	2016	"oxy oil & gas"	"a1 testers"
114660.390000	320.000000	2017	"oxy oil & gas"	"a1 testers"
113311.130000	297.000000	2015	"oxy oil & gas"	"a1 testers"
101579.990000	318.000000	2018	"oxy oil & gas"	"a1 testers"
634999.310000	158.000000	2013	"oxy"	"a2d technologies"
71526.000000	25.000000	2016	"oxy"	"a2d technologies"
244266.980000	78.000000	2015	"oxy"	"a2d technologies"
155717.000000	48.000000	2017	"oxy oil & gas"	"a2d technologies"
89826.540000	45.000000	2016	"oxy oil & gas"	"a2d technologies"
283871.980000	105.000000	2015	"oxy oil & gas"	"a2d technologies"
924660.320000	121.000000	2014	"oxy"	"a2d technologies"
68795.000000	32.000000	2018	"oxy oil & gas"	"a2d technologies"
1130130.900000	643.000000	2014	"oxy"	"aa production services"
	0.000000	2015	"oxy"	"aa production services"
	0.000000	2016	"oxy"	"aa production services"
1364754.370000	790.000000	2013	"oxy"	"aa production services"
164045.000000	18.000000	2015	"oxy oil & gas"	"aaa steam service"
140090.000000	17.000000	2016	"oxy oil & gas"	"aaa steam service"
174736.000000	27.000000	2017	"oxy oil & gas"	"aaa steam service"
112651.700000	38.000000	2018	"oxy oil & gas"	"aaa steam service"
		2015	"oxy oil & gas"	"aaa testers"
6112.000000	9.000000	2017	"oxy oil & gas"	"aaa testers"
9630.000000	15.000000	2018	"oxy oil & gas"	"aaa testers"
		2016	"oxy oil & gas"	"aaa testers"
1190103.980000	617.000000	2015	"oxy"	"aaa well service"
62935.350000	66.000000	2014	"oxy"	"aaa well service"
822625.900000	522.000000	2015	"oxy oil & gas"	"aaa well service"
50733.880000	43.000000	2017	"oxy oil & gas"	"aaa well service"
4734940.250000	3284.000000	2018	"oxy oil & gas"	"aaa well service"
685550.680000	454.000000	2016	"oxy oil & gas"	"aaa well service"
243316.700000	252.000000	2016	"oxy"	"aaa well service"
	0.000000	2013	"oxy"	"aaa well service"
32893.350000	2.000000	2017	"oxy oil & gas"	"aaf international"
		2018	"oxy oil & gas"	"aaf international"
		2015	"oxy oil & gas"	"aaf international"
8813.120000	7.000000	2016	"oxy oil & gas"	"aaf international"
	0.000000	2015	"oxy"	"aatech"
1974073.890000	16.000000	2014	"oxy"	"aatech"
	0.000000	2016	"oxy"	"aatech"
2919472.150000	25.000000	2013	"oxy"	"aatech"
18964.700000	12.000000	2018	"oxy oil & gas"	"aaw services"
8470.000000	6.000000	2016	"oxy oil & gas"	"aaw services"
		2017	"oxy oil & gas"	"aaw services"
10350.000000	8.000000	2015	"oxy oil & gas"	"aaw services"
41949.270000	24.000000	2016	"oxy oil & gas"	"abacus computers"
19887.080000	8.000000	2018	"oxy oil & gas"	"abacus computers"
60822.800000	51.000000	2015	"oxy oil & gas"	"abacus computers"
10435.770000	12.000000	2017	"oxy oil & gas"	"abacus computers"
	0.000000	2016	"oxy"	"abate a weed"
518380.220000	41.000000	2014	"oxy"	"abate a weed"
	0.000000	2015	"oxy"	"abate a weed"
493856.150000	40.000000	2013	"oxy"	"abate a weed"
5796.000000	1.000000	2016	"oxy oil & gas"	"abb ab"
		2018	"oxy oil & gas"	"abb ab"
37739.000000	3.000000	2017	"oxy oil & gas"	"abb ab"
		2015	"oxy oil & gas"	"abb ab"
218406.120000	10.000000	2016	"oxy oil & gas"	"abb enterprises software"
		2015	"oxy oil & gas"	"abb enterprises software"
		2018	"oxy oil & gas"	"abb enterprises software"
275860.950000	4.000000	2017	"oxy oil & gas"	"abb enterprises software"
508414.190000	57.000000	2016	"oxy oil & gas"	"abb"
773339.840000	109.000000	2016	"oxy"	"abb"
956630.810000	158.000000	2018	"oxy oil & gas"	"abb"
1970425.580000	165.000000	2014	"oxy"	"abb"
1679423.590000	145.000000	2017	"oxy oil & gas"	"abb"
370255.270000	74.000000	2013	"oxy"	"abb"
725191.700000	494.000000	2014	"oxy"	"abb"
2003230.440000	121.000000	2015	"oxy"	"abb"
389487.830000	22.000000	2015	"oxy"	"abb"
166184.350000	24.000000	2016	"oxy"	"abb"
371030.650000	35.000000	2015	"oxy oil & gas"	"abb"
553791.830000	194.000000	2013	"oxy"	"abb"
421943.640000	7.000000	2016	"oxy oil & gas"	"abbott building co"
275086.000000	2.000000	2015	"oxy oil & gas"	"abbott building co"
90346.620000	3.000000	2018	"oxy oil & gas"	"abbott building co"
368799.960000	13.000000	2017	"oxy oil & gas"	"abbott building co"
		2016	"oxy oil & gas"	"abc fencing & oil field services"
		2018	"oxy oil & gas"	"abc fencing & oil field services"
439894.450000	68.000000	2015	"oxy oil & gas"	"abc fencing & oil field services"
		2017	"oxy oil & gas"	"abc fencing & oil field services"
57586.880000	70.000000	2016	"oxy"	"abc rental tool co"
816650.900000	142.000000	2014	"oxy"	"abc rental tool co"
250163.330000	107.000000	2013	"oxy"	"abc rental tool co"
231613.670000	163.000000	2015	"oxy"	"abc rental tool co"
119222.470000	94.000000	2016	"oxy oil & gas"	"abc rental tool co"
220351.150000	151.000000	2018	"oxy oil & gas"	"abc rental tool co"
758488.590000	118.000000	2017	"oxy oil & gas"	"abc rental tool co"
279232.900000	185.000000	2015	"oxy oil & gas"	"abc rental tool co"
		2016	"oxy oil & gas"	"aberdeen products"
12480.000000	2.000000	2015	"oxy oil & gas"	"aberdeen products"
		2017	"oxy oil & gas"	"aberdeen products"
		2018	"oxy oil & gas"	"aberdeen products"
		2016	"oxy oil & gas"	"abernathy welding"
		2018	"oxy oil & gas"	"abernathy welding"
197473.580000	75.000000	2015	"oxy oil & gas"	"abernathy welding"
		2017	"oxy oil & gas"	"abernathy welding"
470980.920000	63.000000	2016	"oxy oil & gas"	"abm janitorial svcssouth central"
17338.790000	8.000000	2015	"oxy oil & gas"	"abm janitorial svcssouth central"
216315.580000	32.000000	2017	"oxy oil & gas"	"abm janitorial svcssouth central"
402905.800000	43.000000	2018	"oxy oil & gas"	"abm janitorial svcssouth central"
		2016	"oxy oil & gas"	"abm janitorial svcssouth central"
		2015	"oxy oil & gas"	"abm janitorial svcssouth central"
148237.290000	16.000000	2018	"oxy oil & gas"	"abm janitorial svcssouth central"
115018.970000	20.000000	2017	"oxy oil & gas"	"abm janitorial svcssouth central"
		2016	"oxy oil & gas"	"abrahamson consulting"
84516.910000	3.000000	2018	"oxy oil & gas"	"abrahamson consulting"
69416.810000	24.000000	2015	"oxy oil & gas"	"abrahamson consulting"
		2017	"oxy oil & gas"	"abrahamson consulting"
		2016	"oxy oil & gas"	"absg consulting"
27150.000000	2.000000	2015	"oxy oil & gas"	"absg consulting"
		2018	"oxy oil & gas"	"absg consulting"
		2017	"oxy oil & gas"	"absg consulting"
17474.980000	1.000000	2017	"oxy oil & gas"	"absolute roustabout service"
		2016	"oxy oil & gas"	"absolute roustabout service"
17914.000000	1.000000	2018	"oxy oil & gas"	"absolute roustabout service"
		2015	"oxy oil & gas"	"absolute roustabout service"
		2017	"oxy oil & gas"	"abt limousine service"
		2018	"oxy oil & gas"	"abt limousine service"
19810.230000	16.000000	2015	"oxy oil & gas"	"abt limousine service"
		2016	"oxy oil & gas"	"abt limousine service"
152070.000000	5.000000	2013	"oxy"	"abtrex industries"
258152.000000	10.000000	2015	"oxy"	"abtrex industries"
224499.000000	13.000000	2016	"oxy"	"abtrex industries"
896454.000000	34.000000	2014	"oxy"	"abtrex industries"
		2017	"oxy oil & gas"	"abutec industries"
		2018	"oxy oil & gas"	"abutec industries"
		2015	"oxy oil & gas"	"abutec industries"
5370.830000	1.000000	2016	"oxy oil & gas"	"abutec industries"
		2017	"oxy oil & gas"	"abz"
800.000000	2.000000	2015	"oxy oil & gas"	"abz"
		2016	"oxy oil & gas"	"abz"
		2018	"oxy oil & gas"	"abz"
908896.000000	53.000000	2014	"oxy"	"ac electric usa corp"
299864.000000	22.000000	2013	"oxy"	"ac electric usa corp"
501215.000000	49.000000	2015	"oxy"	"ac electric usa corp"
300866.000000	63.000000	2016	"oxy"	"ac electric usa corp"
84787.200000	44.000000	2018	"oxy oil & gas"	"ac lonestar services"
67025.000000	35.000000	2017	"oxy oil & gas"	"ac lonestar services"
		2016	"oxy oil & gas"	"ac lonestar services"
		2015	"oxy oil & gas"	"ac lonestar services"
1673381.310000	60.000000	2013	"oxy"	"ac newman insurance correspondents"
1627259.960000	59.000000	2014	"oxy"	"ac newman insurance correspondents"
1192930.930000	43.000000	2016	"oxy"	"ac newman insurance correspondents"
1220212.770000	50.000000	2015	"oxy"	"ac newman insurance correspondents"
	0.000000	2016	"oxy"	"ac pumping unit repair"
656449.460000	436.000000	2014	"oxy"	"ac pumping unit repair"
690844.700000	526.000000	2013	"oxy"	"ac pumping unit repair"
	0.000000	2015	"oxy"	"ac pumping unit repair"
28420.000000	28.000000	2017	"oxy oil & gas"	"accel compression"
23634.450000	44.000000	2015	"oxy oil & gas"	"accel compression"
		2016	"oxy oil & gas"	"accel compression"
32890.000000	10.000000	2018	"oxy oil & gas"	"accel compression"
		2016	"oxy oil & gas"	"accelerated process systems"
		2015	"oxy oil & gas"	"accelerated process systems"
		2017	"oxy oil & gas"	"accelerated process systems"
99040.000000	1.000000	2018	"oxy oil & gas"	"accelerated process systems"
162085.000000	2.000000	2015	"oxy oil & gas"	"accelerated production systems"
		2016	"oxy oil & gas"	"accelerated production systems"
		2017	"oxy oil & gas"	"accelerated production systems"
		2018	"oxy oil & gas"	"accelerated production systems"
2493699.300000	8.000000	2016	"oxy oil & gas"	"accenture llp"
		2015	"oxy oil & gas"	"accenture llp"
19314787.420000	44.000000	2018	"oxy oil & gas"	"accenture llp"
19760828.860000	27.000000	2017	"oxy oil & gas"	"accenture llp"
		2016	"oxy oil & gas"	"accessesp"
		2015	"oxy oil & gas"	"accessesp"
287312.000000	17.000000	2018	"oxy oil & gas"	"accessesp"
		2017	"oxy oil & gas"	"accessesp"
1277888.190000	527.000000	2015	"oxy oil & gas"	"accountemps"
1080597.650000	456.000000	2016	"oxy oil & gas"	"accountemps"
846011.880000	339.000000	2016	"oxy"	"accountemps"
1288042.780000	563.000000	2017	"oxy oil & gas"	"accountemps"
597618.600000	294.000000	2013	"oxy"	"accountemps"
1349522.260000	668.000000	2014	"oxy"	"accountemps"
1094454.110000	472.000000	2015	"oxy"	"accountemps"
1839627.360000	566.000000	2018	"oxy oil & gas"	"accountemps"
157226.420000	59.000000	2017	"oxy oil & gas"	"accounting pripals 1"
84603.820000	23.000000	2018	"oxy oil & gas"	"accounting pripals 1"
150304.450000	58.000000	2015	"oxy oil & gas"	"accounting pripals 1"
326096.920000	61.000000	2016	"oxy oil & gas"	"accounting pripals 1"
155738.630000	13.000000	2015	"oxy oil & gas"	"accudata systems"
353609.970000	6.000000	2018	"oxy oil & gas"	"accudata systems"
183895.160000	8.000000	2017	"oxy oil & gas"	"accudata systems"
694514.750000	18.000000	2014	"oxy"	"accudata systems"
560113.670000	17.000000	2013	"oxy"	"accudata systems"
155738.630000	10.000000	2015	"oxy"	"accudata systems"
4398.290000	2.000000	2016	"oxy"	"accudata systems"
313694.350000	5.000000	2016	"oxy oil & gas"	"accudata systems"
		2015	"oxy oil & gas"	"accuracy inspection"
		2018	"oxy oil & gas"	"accuracy inspection"
1304.500000	1.000000	2017	"oxy oil & gas"	"accuracy inspection"
		2016	"oxy oil & gas"	"accuracy inspection"
		2017	"oxy oil & gas"	"accurate construction and excavation"
31754.800000	2.000000	2015	"oxy oil & gas"	"accurate construction and excavation"
		2018	"oxy oil & gas"	"accurate construction and excavation"
		2016	"oxy oil & gas"	"accurate construction and excavation"
4321106.900000	30.000000	2014	"oxy"	"accurate"
150970.000000	14.000000	2013	"oxy"	"accurate"
	0.000000	2016	"oxy"	"accurate"
6935509.400000	182.000000	2015	"oxy"	"accurate"
		2018	"oxy oil & gas"	"accurate tank and vessel"
		2017	"oxy oil & gas"	"accurate tank and vessel"
7000207.200000	210.000000	2015	"oxy oil & gas"	"accurate tank and vessel"
		2016	"oxy oil & gas"	"accurate tank and vessel"
33000.000000	17.000000	2018	"oxy oil & gas"	"accutest"
		2015	"oxy oil & gas"	"accutest"
		2017	"oxy oil & gas"	"accutest"
		2016	"oxy oil & gas"	"accutest"
8836.680000	2.000000	2015	"oxy oil & gas"	"accuvant"
		2017	"oxy oil & gas"	"accuvant"
1076565.420000	2.000000	2013	"oxy"	"accuvant"
	0.000000	2016	"oxy"	"accuvant"
		2016	"oxy oil & gas"	"accuvant"
		2018	"oxy oil & gas"	"accuvant"
8836.680000	2.000000	2015	"oxy"	"accuvant"
74774.750000	3.000000	2014	"oxy"	"accuvant"
		2018	"oxy oil & gas"	"acs industries"
18825.700000	10.000000	2016	"oxy oil & gas"	"acs industries"
30411.250000	37.000000	2015	"oxy oil & gas"	"acs industries"
		2017	"oxy oil & gas"	"acs industries"
	0.000000	2016	"oxy"	"ace pump testing"
675255.320000	365.000000	2013	"oxy"	"ace pump testing"
	0.000000	2015	"oxy"	"ace pump testing"
603731.230000	345.000000	2014	"oxy"	"ace pump testing"
277.000000	2.000000	2018	"oxy oil & gas"	"ace specialties"
2018.330000	8.000000	2016	"oxy oil & gas"	"ace specialties"
3204.130000	14.000000	2015	"oxy oil & gas"	"ace specialties"
1205.010000	8.000000	2017	"oxy oil & gas"	"ace specialties"
		2018	"oxy oil & gas"	"aci consulting"
91135.000000	2.000000	2016	"oxy oil & gas"	"aci consulting"
64100.000000	2.000000	2015	"oxy oil & gas"	"aci consulting"
		2017	"oxy oil & gas"	"aci consulting"
-2500.000000	1.000000	2015	"oxy oil & gas"	"acl services"
9352.370000	4.000000	2017	"oxy oil & gas"	"acl services"
		2016	"oxy oil & gas"	"acl services"
		2018	"oxy oil & gas"	"acl services"
		2015	"oxy oil & gas"	"acidizing technology svcs"
		2017	"oxy oil & gas"	"acidizing technology svcs"
		2016	"oxy oil & gas"	"acidizing technology svcs"
1221454.090000	105.000000	2018	"oxy oil & gas"	"acidizing technology svcs"
218874.790000	17.000000	2015	"oxy oil & gas"	"acidizing technology svcs"
166897.260000	16.000000	2017	"oxy oil & gas"	"acidizing technology svcs"
527698.440000	29.000000	2016	"oxy oil & gas"	"acidizing technology svcs"
51610.370000	11.000000	2018	"oxy oil & gas"	"acidizing technology svcs"
245000.000000	2.000000	2015	"oxy oil & gas"	"aclaro softworks"
245000.000000	2.000000	2016	"oxy oil & gas"	"aclaro softworks"
270884.000000	2.000000	2014	"oxy"	"aclaro softworks"
	0.000000	2016	"oxy"	"aclaro softworks"
		2018	"oxy oil & gas"	"aclaro softworks"
245000.000000	2.000000	2017	"oxy oil & gas"	"aclaro softworks"
490000.000000	4.000000	2015	"oxy"	"aclaro softworks"
257985.000000	1.000000	2013	"oxy"	"aclaro softworks"
6819.750000	2.000000	2015	"oxy oil & gas"	"aclaro softworks usa"
		2018	"oxy oil & gas"	"aclaro softworks usa"
		2017	"oxy oil & gas"	"aclaro softworks usa"
1299.000000	1.000000	2016	"oxy oil & gas"	"aclaro softworks usa"
704594.610000	720.000000	2015	"oxy oil & gas"	"acme truck line"
275167.690000	301.000000	2016	"oxy"	"acme truck line"
399046.380000	435.000000	2015	"oxy"	"acme truck line"
289541.420000	242.000000	2018	"oxy oil & gas"	"acme truck line"
2723540.280000	1548.000000	2017	"oxy oil & gas"	"acme truck line"
890514.620000	756.000000	2014	"oxy"	"acme truck line"
583147.670000	542.000000	2013	"oxy"	"acme truck line"
567946.010000	528.000000	2016	"oxy oil & gas"	"acme truck line"
	0.000000	2016	"oxy"	"acord transportation"
1219473.750000	487.000000	2013	"oxy"	"acord transportation"
	0.000000	2015	"oxy"	"acord transportation"
13335.800000	19.000000	2014	"oxy"	"acord transportation"
		2015	"oxy oil & gas"	"acorn international"
		2018	"oxy oil & gas"	"acorn international"
		2017	"oxy oil & gas"	"acorn international"
5000.000000	2.000000	2016	"oxy oil & gas"	"acorn international"
51745.820000	12.000000	2015	"oxy oil & gas"	"acorn petroleum"
68199.310000	3.000000	2018	"oxy oil & gas"	"acorn petroleum"
25778.940000	3.000000	2016	"oxy oil & gas"	"acorn petroleum"
51152.760000	4.000000	2017	"oxy oil & gas"	"acorn petroleum"
595517.910000	8.000000	2013	"oxy"	"acro trailer co"
8765.070000	8.000000	2015	"oxy"	"acro trailer co"
1146960.200000	23.000000	2014	"oxy"	"acro trailer co"
	0.000000	2016	"oxy"	"acro trailer co"
	0.000000	2015	"oxy"	"act 1 personnel services"
2149020.660000	2098.000000	2013	"oxy"	"act 1 personnel services"
	0.000000	2016	"oxy"	"act 1 personnel services"
2366880.740000	2238.000000	2014	"oxy"	"act 1 personnel services"
67837.560000	22.000000	2018	"oxy oil & gas"	"actian corp"
69215.190000	24.000000	2017	"oxy oil & gas"	"actian corp"
27555.080000	9.000000	2015	"oxy oil & gas"	"actian corp"
66828.800000	25.000000	2016	"oxy oil & gas"	"actian corp"
844757.160000	1827.000000	2018	"oxy oil & gas"	"action energy services"
		2016	"oxy oil & gas"	"action energy services"
667392.930000	1353.000000	2017	"oxy oil & gas"	"action energy services"
		2015	"oxy oil & gas"	"action energy services"
485964.260000	446.000000	2015	"oxy"	"action resources"
340985.480000	384.000000	2013	"oxy"	"action resources"
2283488.050000	2367.000000	2014	"oxy"	"action resources"
597457.250000	430.000000	2016	"oxy"	"action resources"
17300.000000	2.000000	2018	"oxy oil & gas"	"active expert"
		2017	"oxy oil & gas"	"active expert"
		2015	"oxy oil & gas"	"active expert"
		2016	"oxy oil & gas"	"active expert"
278753.750000	15.000000	2018	"oxy oil & gas"	"acuity specialty products"
68406.250000	3.000000	2015	"oxy oil & gas"	"acuity specialty products"
283662.900000	15.000000	2017	"oxy oil & gas"	"acuity specialty products"
229256.380000	15.000000	2016	"oxy oil & gas"	"acuity specialty products"
1320.000000	1.000000	2017	"oxy oil & gas"	"acuren inspections"
287209.920000	64.000000	2015	"oxy oil & gas"	"acuren inspections"
63832.600000	29.000000	2016	"oxy oil & gas"	"acuren inspections"
		2018	"oxy oil & gas"	"acuren inspections"
		2018	"oxy oil & gas"	"acute technological services orp"
0.000000	2.000000	2015	"oxy oil & gas"	"acute technological services orp"
		2017	"oxy oil & gas"	"acute technological services orp"
		2016	"oxy oil & gas"	"acute technological services orp"
934807.650000	12.000000	2018	"oxy oil & gas"	"adhesive services co"
3000356.300000	38.000000	2013	"oxy"	"adhesive services co"
426984.170000	7.000000	2016	"oxy"	"adhesive services co"
1419296.910000	9.000000	2014	"oxy"	"adhesive services co"
	0.000000	2015	"oxy"	"adhesive services co"
780229.990000	16.000000	2016	"oxy oil & gas"	"adhesive services co"
668437.590000	21.000000	2017	"oxy oil & gas"	"adhesive services co"
		2015	"oxy oil & gas"	"adhesive services co"
	0.000000	2015	"oxy"	"adler tank rentals"
		2018	"oxy oil & gas"	"adler tank rentals"
961348.970000	368.000000	2013	"oxy"	"adler tank rentals"
		2016	"oxy oil & gas"	"adler tank rentals"
32847.000000	9.000000	2017	"oxy oil & gas"	"adler tank rentals"
1357084.410000	616.000000	2014	"oxy"	"adler tank rentals"
	0.000000	2016	"oxy"	"adler tank rentals"
		2015	"oxy oil & gas"	"adler tank rentals"
		2017	"oxy oil & gas"	"administrative exchange"
		2018	"oxy oil & gas"	"administrative exchange"
303683.770000	120.000000	2015	"oxy oil & gas"	"administrative exchange"
73848.940000	26.000000	2016	"oxy oil & gas"	"administrative exchange"
2439586.540000	38.000000	2013	"oxy"	"adp"
109125.760000	22.000000	2016	"oxy"	"adp"
199306.720000	31.000000	2014	"oxy"	"adp"
127491.340000	34.000000	2015	"oxy"	"adp"
36031.890000	23.000000	2017	"oxy oil & gas"	"adp"
73511.190000	31.000000	2018	"oxy oil & gas"	"adp"
127938.630000	37.000000	2016	"oxy oil & gas"	"adp"
149614.810000	42.000000	2015	"oxy oil & gas"	"adp"
0.000000	1.000000	2017	"oxy oil & gas"	"adroit fabrication"
88750.000000	1.000000	2016	"oxy oil & gas"	"adroit fabrication"
		2018	"oxy oil & gas"	"adroit fabrication"
		2015	"oxy oil & gas"	"adroit fabrication"
		2017	"oxy oil & gas"	"ads services"
		2016	"oxy oil & gas"	"ads services"
6755.000000	2.000000	2018	"oxy oil & gas"	"ads services"
		2015	"oxy oil & gas"	"ads services"
412398.670000	67.000000	2016	"oxy oil & gas"	"advance cooling towers"
1016139.130000	77.000000	2015	"oxy oil & gas"	"advance cooling towers"
335991.410000	60.000000	2016	"oxy"	"advance cooling towers"
359444.320000	57.000000	2017	"oxy oil & gas"	"advance cooling towers"
215504.960000	73.000000	2018	"oxy oil & gas"	"advance cooling towers"
1291068.120000	45.000000	2013	"oxy"	"advance cooling towers"
963464.460000	52.000000	2015	"oxy"	"advance cooling towers"
214671.460000	47.000000	2014	"oxy"	"advance cooling towers"
		2018	"oxy oil & gas"	"advance l&h"
20529.000000	2.000000	2017	"oxy oil & gas"	"advance l&h"
		2016	"oxy oil & gas"	"advance l&h"
		2015	"oxy oil & gas"	"advance l&h"
341529.240000	4.000000	2016	"oxy"	"advanced chemical logistics"
267577.390000	3.000000	2015	"oxy"	"advanced chemical logistics"
439644.890000	5.000000	2014	"oxy"	"advanced chemical logistics"
87831.720000	1.000000	2013	"oxy"	"advanced chemical logistics"
	0.000000	2016	"oxy"	"advanced combustion & process controls"
	0.000000	2015	"oxy"	"advanced combustion & process controls"
1230060.080000	454.000000	2014	"oxy"	"advanced combustion & process controls"
456732.770000	292.000000	2013	"oxy"	"advanced combustion & process controls"
		2018	"oxy oil & gas"	"advanced construction specialists"
8233.690000	6.000000	2017	"oxy oil & gas"	"advanced construction specialists"
		2016	"oxy oil & gas"	"advanced construction specialists"
		2015	"oxy oil & gas"	"advanced construction specialists"
		2017	"oxy oil & gas"	"advanced environmental services"
		2018	"oxy oil & gas"	"advanced environmental services"
		2015	"oxy oil & gas"	"advanced environmental services"
