Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
681389.020000	2015	700.000000	"marathonpetroleum"	"allegis group holdings"
456038.640000	2017	700.000000	"marathonpetroleum"	"allegis group holdings"
477202.490000	2018	119300.622500	"marathonpetroleum"	"allegis group holdings"
1890772.560000	2016	700.000000	"marathonpetroleum"	"allegis group holdings"
1614577.870000	2018	403644.467500	"marathonpetroleum"	"allen industries"
8647048.560000	2016	324.750000	"marathonpetroleum"	"allen industries"
550666.560000	2017	324.750000	"marathonpetroleum"	"allen industries"
18186909.980000	2015	324.750000	"marathonpetroleum"	"allen industries"
1178669.950000	2018	294667.487500	"marathonpetroleum"	"allentech"
4626819.770000	2016	1270.750000	"marathonpetroleum"	"allied security holdings"
2087654.150000	2017	1270.750000	"marathonpetroleum"	"allied security holdings"
4187662.470000	2015	1270.750000	"marathonpetroleum"	"allied security holdings"
163104.560000	2018	40776.140000	"marathonpetroleum"	"allied security holdings"
266723.080000	2017	435.750000	"marathonpetroleum"	"alliedbarton security services"
2932901.560000	2015	435.750000	"marathonpetroleum"	"alliedbarton security services"
1269839.970000	2016	435.750000	"marathonpetroleum"	"alliedbarton security services"
1642897.500000	2016	66.000000	"marathonpetroleum"	"alpine tree service"
1822148.420000	2015	66.000000	"marathonpetroleum"	"alpine tree service"
1823619.350000	2017	66.000000	"marathonpetroleum"	"alpine tree service"
1355877.240000	2018	338969.310000	"marathonpetroleum"	"alpine tree service"
1777332.100000	2017	9567.750000	"marathonpetroleum"	"alternative fuels transportation"
2117340.850000	2018	529335.212500	"marathonpetroleum"	"alternative fuels transportation"
2299056.610000	2016	9567.750000	"marathonpetroleum"	"alternative fuels transportation"
2226505.930000	2015	9567.750000	"marathonpetroleum"	"alternative fuels transportation"
1434355.440000	2016	89.750000	"marathonpetroleum"	"amador valley software"
1246004.450000	2018	311501.112500	"marathonpetroleum"	"amador valley software"
1300940.360000	2015	89.750000	"marathonpetroleum"	"amador valley software"
1053921.060000	2017	89.750000	"marathonpetroleum"	"amador valley software"
18492766.830000	2017	577.000000	"marathonpetroleum"	"ambitech engineering"
18056605.670000	2016	577.000000	"marathonpetroleum"	"ambitech engineering"
12723031.200000	2015	577.000000	"marathonpetroleum"	"ambitech engineering"
16295645.340000	2018	4073911.335000	"marathonpetroleum"	"ambitech engineering"
2419329.010000	2016	286.750000	"marathonpetroleum"	"american environmental group"
2019274.540000	2015	286.750000	"marathonpetroleum"	"american environmental group"
2235757.010000	2017	286.750000	"marathonpetroleum"	"american environmental group"
1723876.190000	2018	430969.047500	"marathonpetroleum"	"american environmental group"
1693800.000000	2018	423450.000000	"marathonpetroleum"	"american fuel & petrochemical"
